timestamp,event_type,message
2025-08-08 23:58:52,DETECTION,Frame 8 - 4 objek terdeteksi
2025-08-08 23:58:53,DETECTION,Frame 16 - 4 objek terdeteksi
2025-08-08 23:58:53,DETECTION,Frame 24 - 3 objek terdeteksi
2025-08-08 23:58:54,DETECTION,Frame 32 - 3 objek terdeteksi
2025-08-08 23:58:54,DETECTION,Frame 40 - 3 objek terdeteksi
2025-08-08 23:58:54,DETECTION,Frame 48 - 4 objek terdeteksi
2025-08-08 23:58:55,DETECTION,Frame 56 - 3 objek terdeteksi
2025-08-08 23:58:55,DETECTION,Frame 64 - 3 objek terdeteksi
2025-08-08 23:58:57,DETECTION,Frame 72 - 4 objek terdeteksi
2025-08-08 23:58:57,DETECTION,Frame 80 - 5 objek terdeteksi
2025-08-08 23:58:57,DETECTION,Frame 88 - 4 objek terdeteksi
2025-08-08 23:58:58,DETECTION,Frame 96 - 4 objek terdeteksi
2025-08-08 23:58:58,DETECTION,Frame 104 - 3 objek terdeteksi
2025-08-08 23:58:59,DETECTION,Frame 112 - 4 objek terdeteksi
2025-08-08 23:58:59,DETECTION,Frame 120 - 3 objek terdeteksi
2025-08-08 23:58:59,DETECTION,Frame 128 - 3 objek terdeteksi
2025-08-08 23:59:00,DETECTION,Frame 136 - 4 objek terdeteksi
2025-08-08 23:59:00,DETECTION,Frame 144 - 4 objek terdeteksi
2025-08-08 23:59:01,DETECTION,Frame 152 - 4 objek terdeteksi
2025-08-08 23:59:01,DETECTION,Frame 160 - 4 objek terdeteksi
2025-08-08 23:59:01,DETECTION,Frame 168 - 5 objek terdeteksi
2025-08-08 23:59:02,DETECTION,Frame 176 - 5 objek terdeteksi
2025-08-08 23:59:02,DETECTION,Frame 184 - 6 objek terdeteksi
2025-08-08 23:59:03,DETECTION,Frame 192 - 8 objek terdeteksi
2025-08-08 23:59:03,DETECTION,Frame 200 - 8 objek terdeteksi
2025-08-08 23:59:03,DETECTION,Frame 208 - 7 objek terdeteksi
2025-08-08 23:59:04,DETECTION,Frame 216 - 8 objek terdeteksi
2025-08-08 23:59:04,DETECTION,Frame 224 - 9 objek terdeteksi
2025-08-08 23:59:05,DETECTION,Frame 232 - 5 objek terdeteksi
2025-08-08 23:59:05,DETECTION,Frame 240 - 7 objek terdeteksi
2025-08-08 23:59:05,DETECTION,Frame 248 - 7 objek terdeteksi
2025-08-08 23:59:06,DETECTION,Frame 256 - 4 objek terdeteksi
2025-08-08 23:59:06,DETECTION,Frame 264 - 8 objek terdeteksi
2025-08-08 23:59:07,DETECTION,Frame 272 - 6 objek terdeteksi
2025-08-08 23:59:07,DETECTION,Frame 280 - 8 objek terdeteksi
2025-08-08 23:59:07,DETECTION,Frame 288 - 7 objek terdeteksi
2025-08-08 23:59:08,DETECTION,Frame 296 - 6 objek terdeteksi
2025-08-08 23:59:08,DETECTION,Frame 304 - 6 objek terdeteksi
2025-08-08 23:59:09,DETECTION,Frame 312 - 8 objek terdeteksi
2025-08-08 23:59:09,DETECTION,Frame 320 - 5 objek terdeteksi
2025-08-08 23:59:09,DETECTION,Frame 328 - 5 objek terdeteksi
2025-08-08 23:59:10,DETECTION,Frame 336 - 5 objek terdeteksi
2025-08-08 23:59:10,DETECTION,Frame 344 - 4 objek terdeteksi
2025-08-08 23:59:11,DETECTION,Frame 352 - 5 objek terdeteksi
2025-08-08 23:59:11,DETECTION,Frame 360 - 4 objek terdeteksi
2025-08-08 23:59:11,DETECTION,Frame 368 - 4 objek terdeteksi
2025-08-08 23:59:12,DETECTION,Frame 376 - 6 objek terdeteksi
2025-08-08 23:59:12,DETECTION,Frame 384 - 5 objek terdeteksi
2025-08-08 23:59:13,DETECTION,Frame 392 - 5 objek terdeteksi
2025-08-08 23:59:13,DETECTION,Frame 400 - 5 objek terdeteksi
2025-08-08 23:59:13,DETECTION,Frame 408 - 4 objek terdeteksi
2025-08-08 23:59:14,DETECTION,Frame 416 - 3 objek terdeteksi
2025-08-08 23:59:14,DETECTION,Frame 424 - 4 objek terdeteksi
2025-08-08 23:59:15,DETECTION,Frame 432 - 6 objek terdeteksi
2025-08-08 23:59:15,DETECTION,Frame 440 - 4 objek terdeteksi
2025-08-08 23:59:15,DETECTION,Frame 448 - 4 objek terdeteksi
2025-08-08 23:59:16,DETECTION,Frame 456 - 4 objek terdeteksi
2025-08-08 23:59:16,DETECTION,Frame 464 - 5 objek terdeteksi
2025-08-08 23:59:17,DETECTION,Frame 472 - 5 objek terdeteksi
2025-08-08 23:59:17,DETECTION,Frame 480 - 4 objek terdeteksi
2025-08-08 23:59:18,DETECTION,Frame 488 - 5 objek terdeteksi
2025-08-08 23:59:18,DETECTION,Frame 496 - 5 objek terdeteksi
2025-08-08 23:59:19,DETECTION,Frame 504 - 4 objek terdeteksi
2025-08-08 23:59:19,DETECTION,Frame 512 - 6 objek terdeteksi
