timestamp,event_type,message
2025-08-10 02:01:52,INFO,Webcam WebRTC started
2025-08-10 02:01:54,INFO,Webcam WebRTC started
2025-08-10 02:01:55,INFO,Webcam WebRTC started
2025-08-10 02:01:55,INFO,Webcam WebRTC started
2025-08-10 02:07:50,DETECTION,Frame 5 - 1 objek
2025-08-10 02:07:51,DETECTION,Frame 10 - 1 objek
2025-08-10 02:07:51,DETECTION,Frame 15 - 1 objek
2025-08-10 02:07:51,DETECTION,Frame 20 - 1 objek
2025-08-10 02:07:52,DETECTION,Frame 25 - 1 objek
2025-08-10 02:07:52,DETECTION,Frame 30 - 1 objek
2025-08-10 02:07:52,DETECTION,Frame 35 - 1 objek
2025-08-10 02:07:53,DETECTION,Frame 40 - 1 objek
2025-08-10 02:07:53,DETECTION,Frame 45 - 1 objek
2025-08-10 02:07:53,DETECTION,Frame 50 - 1 objek
2025-08-10 02:07:53,DETECTION,Frame 55 - 1 objek
2025-08-10 02:07:54,DETECTION,Frame 60 - 1 objek
2025-08-10 02:07:54,DETECTION,Frame 65 - 1 objek
2025-08-10 02:07:54,DETECTION,Frame 70 - 1 objek
2025-08-10 02:07:55,DETECTION,Frame 75 - 1 objek
2025-08-10 02:07:55,DETECTION,Frame 80 - 1 objek
2025-08-10 02:07:55,DETECTION,Frame 85 - 1 objek
2025-08-10 02:07:55,DETECTION,Frame 90 - 1 objek
2025-08-10 02:07:56,DETECTION,Frame 95 - 1 objek
2025-08-10 02:07:56,DETECTION,Frame 100 - 1 objek
2025-08-10 02:07:56,DETECTION,Frame 105 - 1 objek
2025-08-10 02:07:57,DETECTION,Frame 110 - 1 objek
2025-08-10 02:07:57,DETECTION,Frame 115 - 1 objek
2025-08-10 02:07:57,DETECTION,Frame 120 - 1 objek
2025-08-10 02:07:57,DETECTION,Frame 125 - 1 objek
2025-08-10 02:07:58,DETECTION,Frame 130 - 1 objek
2025-08-10 02:07:58,DETECTION,Frame 135 - 1 objek
2025-08-10 02:07:58,DETECTION,Frame 140 - 1 objek
2025-08-10 02:07:59,DETECTION,Frame 145 - 1 objek
2025-08-10 02:07:59,DETECTION,Frame 150 - 1 objek
2025-08-10 02:07:59,DETECTION,Frame 155 - 1 objek
2025-08-10 02:07:59,DETECTION,Frame 160 - 1 objek
2025-08-10 02:08:00,DETECTION,Frame 165 - 1 objek
2025-08-10 02:08:00,DETECTION,Frame 170 - 1 objek
2025-08-10 02:08:00,DETECTION,Frame 175 - 1 objek
2025-08-10 02:08:01,DETECTION,Frame 180 - 1 objek
2025-08-10 02:08:01,DETECTION,Frame 185 - 1 objek
2025-08-10 02:08:01,DETECTION,Frame 190 - 1 objek
2025-08-10 02:08:01,DETECTION,Frame 195 - 1 objek
2025-08-10 02:08:02,DETECTION,Frame 200 - 1 objek
2025-08-10 02:08:02,DETECTION,Frame 205 - 1 objek
2025-08-10 02:08:02,DETECTION,Frame 210 - 1 objek
2025-08-10 02:08:03,DETECTION,Frame 215 - 1 objek
2025-08-10 02:08:03,DETECTION,Frame 220 - 1 objek
2025-08-10 02:08:03,DETECTION,Frame 225 - 1 objek
2025-08-10 02:08:04,DETECTION,Frame 230 - 1 objek
2025-08-10 02:08:04,DETECTION,Frame 235 - 1 objek
2025-08-10 02:08:04,DETECTION,Frame 240 - 1 objek
2025-08-10 02:08:05,DETECTION,Frame 245 - 1 objek
2025-08-10 02:08:05,DETECTION,Frame 250 - 1 objek
2025-08-10 02:08:05,DETECTION,Frame 255 - 1 objek
2025-08-10 02:08:06,DETECTION,Frame 260 - 1 objek
2025-08-10 02:08:06,DETECTION,Frame 265 - 1 objek
2025-08-10 02:08:06,DETECTION,Frame 270 - 1 objek
2025-08-10 02:08:07,DETECTION,Frame 275 - 1 objek
2025-08-10 02:12:53,INFO,Webcam WebRTC started
2025-08-10 02:12:55,INFO,Webcam WebRTC started
2025-08-10 02:12:56,INFO,Webcam WebRTC started
2025-08-10 02:12:57,INFO,Webcam WebRTC started
2025-08-10 02:12:57,INFO,Webcam WebRTC started
2025-08-10 02:12:58,INFO,Webcam WebRTC started
2025-08-10 02:12:59,INFO,Webcam WebRTC started
2025-08-10 02:12:59,INFO,Webcam WebRTC started
2025-08-10 02:13:00,INFO,Webcam WebRTC started
2025-08-10 02:13:00,INFO,Webcam WebRTC started
2025-08-10 02:13:00,INFO,Webcam WebRTC started
2025-08-10 02:13:00,INFO,Webcam WebRTC started
2025-08-10 02:18:33,INFO,Webcam WebRTC started
2025-08-10 02:18:35,INFO,Webcam WebRTC started
2025-08-10 02:18:36,INFO,Webcam WebRTC started
2025-08-10 02:18:36,INFO,Webcam WebRTC started
2025-08-10 02:18:37,INFO,Webcam WebRTC started
2025-08-10 02:18:38,INFO,Webcam WebRTC started
2025-08-10 02:18:38,INFO,Webcam WebRTC started
2025-08-10 02:18:39,INFO,Webcam WebRTC started
2025-08-10 02:26:26,DETECTION,Frame 5 - 2 objek
2025-08-10 02:26:26,DETECTION,Frame 10 - 1 objek
2025-08-10 02:26:27,DETECTION,Frame 15 - 1 objek
2025-08-10 02:26:27,DETECTION,Frame 20 - 1 objek
2025-08-10 02:26:27,DETECTION,Frame 25 - 1 objek
2025-08-10 02:26:28,DETECTION,Frame 30 - 1 objek
2025-08-10 02:26:28,DETECTION,Frame 35 - 1 objek
2025-08-10 02:26:28,DETECTION,Frame 40 - 1 objek
2025-08-10 02:26:29,DETECTION,Frame 45 - 1 objek
2025-08-10 02:26:29,DETECTION,Frame 50 - 1 objek
2025-08-10 02:26:29,DETECTION,Frame 55 - 2 objek
2025-08-10 02:26:30,DETECTION,Frame 60 - 1 objek
2025-08-10 02:26:30,DETECTION,Frame 65 - 1 objek
2025-08-10 02:26:30,DETECTION,Frame 70 - 1 objek
2025-08-10 02:26:30,DETECTION,Frame 75 - 1 objek
2025-08-10 02:26:31,DETECTION,Frame 80 - 1 objek
2025-08-10 02:26:31,DETECTION,Frame 85 - 1 objek
2025-08-10 02:26:31,DETECTION,Frame 90 - 1 objek
2025-08-10 02:26:31,DETECTION,Frame 95 - 1 objek
2025-08-10 02:26:32,DETECTION,Frame 100 - 1 objek
2025-08-10 02:26:32,DETECTION,Frame 105 - 1 objek
2025-08-10 02:26:32,DETECTION,Frame 110 - 1 objek
2025-08-10 02:26:32,DETECTION,Frame 115 - 1 objek
2025-08-10 02:26:33,DETECTION,Frame 120 - 1 objek
2025-08-10 02:26:33,DETECTION,Frame 125 - 1 objek
2025-08-10 02:26:33,DETECTION,Frame 130 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 135 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 140 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 145 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 150 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 155 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 160 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 165 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 170 - 1 objek
2025-08-10 02:26:36,DETECTION,Frame 175 - 1 objek
